1.000001 71460 103  3  0.000042 2 0.170000
2.000001 206862 352  9  0.000044 5 1.040000
3.000002 367354 780  24  0.000065 9 2.960000
4.000002 523811 1419  51  0.000097 11 6.040000
5.000002 670467 2594  81  0.000121 16 10.270000
6.000002 791336 4170  123  0.000155 18 15.500000
7.000003 873788 5995  179  0.000205 20 21.469999
8.000003 934208 7709  235  0.000252 20 28.420000
9.000003 958829 8693  296  0.000309 20 35.639999
10.000003 977512 9695  404  0.000413 20 43.049999
11.000003 989198 10661  707  0.000715 20 50.570000
12.000003 999013 11603  1788  0.001790 21 58.220001
13.000003 1009318 12651  5563  0.005514 21 65.970001
14.000003 1026167 13974  17321  0.016915 21 73.629997
15.000003 1057401 15930  43846  0.041600 22 81.419998
16.000003 1100168 18692  81249  0.074165 25 89.239998
17.000003 1145486 22146  122030  0.107105 25 97.389999
18.000003 1189981 26415  164813  0.139396 27 105.790001
19.000003 1238824 32127  212970  0.173183 28 114.519997
20.000003 1292807 39398  266424  0.207868 30 123.610001
21.000003 1349933 47655  323953  0.242369 31 133.210007
22.000004 1409949 56551  384403  0.275797 34 143.240005
23.000004 1472098 66243  446973  0.307726 36 153.809998
24.000004 1534271 76487  509822  0.337378 38 164.919998
25.000004 1596267 87189  572161  0.364663 39 176.710007
26.000004 1657124 97820  633709  0.389831 42 188.899994
27.000004 1717277 108410  694220  0.413051 45 201.619995
28.000004 1772535 118611  749797  0.433383 46 214.789993
29.000004 1821998 128426  799259  0.451010 49 228.380005
30.000004 1866478 137840  843694  0.467142 50 242.839996
31.000004 1907803 147081  884591  0.483010 51 257.649994
32.000005 1948107 156112  924708  0.500588 54 272.839996
33.000005 1989887 165375  966488  0.521121 54 288.339996
34.000005 2032337 174862  1008926  0.543329 55 304.220001
35.000005 2073871 183904  1050128  0.565244 57 320.519989
36.000005 2112186 192543  1088406  0.586034 59 337.179993
37.000005 2147267 200662  1123490  0.605118 62 354.170013
38.000005 2179716 208294  1155948  0.623034 62 371.399994
39.000005 2211144 215779  1187361  0.640378 63 388.959991
40.000005 2239749 222579  1215974  0.656222 66 406.829987
41.000005 2264487 228348  1240743  0.669881 66 424.970001
42.000005 2286016 233347  1262140  0.681481 66 443.309998
43.000005 2304958 237794  1281082  0.691639 67 461.829987
44.000005 2322091 241756  1298183  0.700699 67 480.600006
45.000005 2337341 245322  1313433  0.709054 70 499.470001
46.000005 2351194 248603  1327306  0.716796 70 518.559998
47.000005 2364211 251735  1340324  0.724146 70 537.739990
48.000005 2376113 254596  1352185  0.730938 70 557.780029
49.000006 2386532 257172  1362604  0.736961 71 578.570007
50.000006 2394849 259230  1370893  0.741771 71 599.450012
51.000006 2401483 260814  1377534  0.745694 71 620.409973
52.000006 2407387 262180  1383508  0.749168 74 641.380005
53.000006 2412325 263428  1388452  0.752043 74 661.479980
54.000006 2416354 264474  1392482  0.754401 74 681.640015
55.000006 2419201 265197  1395329  0.756140 74 701.820007
56.000006 2421688 265837  1397816  0.757683 74 722.000000
57.000006 2423978 266445  1400107  0.759103 74 742.109985
58.000006 2426277 267040  1402416  0.760426 74 762.250000
59.000006 2428141 267499  1404214  0.761541 74 782.520020
60.000006 2429565 267823  1405472  0.762276 74 802.760010
61.000006 2430326 268040  1406253  0.762764 74 822.979980
62.000006 2430863 268179  1406790  0.763086 74 843.710022
63.000006 2431316 268314  1407243  0.763361 74 864.469971
64.000006 2431471 268356  1407398  0.763453 74 885.200012
65.000006 2431670 268428  1407597  0.763574 74 905.950012
66.000006 2431670 268428  1407597  0.763574 74 926.520020
67.000007 2431670 268428  1407597  0.763574 74 946.869995
68.000007 2431687 268437  1407614  0.763586 74 967.429993
69.000007 2431795 268459  1407722  0.763640 74 987.940002
70.000007 2431887 268476  1407824  0.763688 74 1008.359985
71.000007 2431887 268476  1407824  0.763688 74 1028.780029
72.000000 2431927 268483  1407898  0.763706 74 1049.140015
1.000002 70420 107  1  0.000014 74 1055.459961
2.000002 191018 370  6  0.000031 74 1056.290039
3.000002 347590 760  11  0.000032 74 1058.130005
4.000003 508484 1467  45  0.000088 74 1061.140015
5.000003 657765 2512  73  0.000111 74 1065.310059
6.000003 775988 3983  116  0.000149 74 1070.449951
7.000003 860128 5696  179  0.000208 74 1076.359985
8.000003 925309 7613  251  0.000271 74 1082.800049
9.000003 955592 8787  300  0.000314 74 1089.699951
10.000004 975471 9710  393  0.000403 74 1096.810059
11.000004 989253 10663  633  0.000640 74 1104.000000
12.000004 998774 11702  1286  0.001288 74 1111.199951
13.000004 1007619 12681  3109  0.003087 74 1118.459961
14.000004 1018036 13739  8475  0.008344 74 1125.839966
15.000004 1034341 15030  20079  0.019477 74 1133.319946
16.000004 1058473 16771  39753  0.037730 74 1140.939941
17.000004 1087878 18851  64319  0.059436 74 1148.800049
